hystreet_score,zug_score,nationalExpress_score,regional_score,suburban_score,national_score,bus_score,bike_score,date,location,tomtom_score,gmap_score,webcam_score,gmap_supermarket_score
0.9234937631290316,1.0,,1.0,,1.0,,,2020-02-27,01001,,,,
,1.0,1.0,1.0,,1.0,,,2020-02-27,01002,,,,
0.672200526336551,,,,,,,,2020-02-27,01003,,,,
,0.952755905511811,,0.9512195121951219,,1.0,,,2020-02-27,01051,,,,
,0.9789473684210527,1.0,0.9806763285024155,0.9692307692307692,1.0,,,2020-02-27,01053,,,,
,1.0,,1.0,,1.0,,,2020-02-27,01054,,,,
,0.9813504823151126,,1.0,0.9678135405105438,,,,2020-02-27,01056,,,,
,1.0,,1.0,,,,,2020-02-27,01057,,,,
,0.967605633802817,,0.9701149425287356,0.9636363636363636,,,,2020-02-27,01062,,,,
0.6900203672198886,0.9842332914748151,0.9072164948453608,0.9876543209876543,0.9850181598062954,0.9339622641509434,,1.0544371405094495,2020-02-27,02000,,,,
0.847141772542148,0.9907692307692307,0.9117647058823529,1.0,,1.0,,,2020-02-27,03101,,,,
,1.0,,1.0,,,,,2020-02-27,03151,,,,
0.7009722031381453,0.947242206235012,0.9262295081967213,0.9520295202952029,,1.0,,1.3477078350366023,2020-02-27,03152,,,,
,1.0,,1.0,,,,,2020-02-27,03153,,,,
,0.9902912621359223,,0.9880952380952381,,1.0,,,2020-02-27,03154,,,,
,1.0,1.0,1.0,,,,,2020-02-27,03155,,,,
,1.0,,1.0,,,,,2020-02-27,03156,,,,
0.7597086570304367,0.9956439393939394,0.9345238095238095,1.0,0.9974232841414852,0.9868421052631579,,0.960164764747387,2020-02-27,03241,,,,
,0.9900662251655629,,1.0,0.9871244635193133,,,,2020-02-27,03252,,,,
0.0,0.9959072305593452,0.9166666666666666,1.0,1.0,1.0,,,2020-02-27,03254,,,,
,1.0,,1.0,1.0,,,,2020-02-27,03257,,,,
,0.98,0.8947368421052632,1.0,1.0,1.0,,,2020-02-27,03351,,,,
,0.9911634756995582,,0.99609375,0.9760479041916168,,,,2020-02-27,03353,,,,
,1.0,,1.0,,,,,2020-02-27,03358,,,,
,0.9795918367346939,,1.0,0.9727047146401985,,,,2020-02-27,03359,,,,
